Rank,Country,CPI,Pop_Density,Infant_Mortality,GDP,Literacy
21,Afghanistan,19,48,163.07,700,36
12,Albania,36,124.6,21.52,4500,86.5
12,Algeria,36,13.8,31,6000,70
5,Bahamas,63,21.8,25.21,16700,95.6
9,Bahrain,42,1050.5,17.27,16900,89.1
16,Bangladesh,26,1023.4,62.6,1900,43.1
4,Barbados,64,649.5,12.5,15700,97.4
8,Belarus,47,49.6,13.37,6100,99.6
3,Belgium,76,340,4.68,29100,98
19,Cambodia,21,76.7,71.48,1900,69.4
17,Cameroon,25,36.5,68.26,1800,79
2,Canada,77,3.3,4.75,29800,97
6,Cape Verde,58,104.4,47.77,1400,76.6
1,Denmark,88,126.5,4.56,31100,100
15,Djibouti,27,21.2,104.13,1300,67.9
7,Dominica,55,91.4,14.15,5400,94
14,Dominican Republic,28,188.5,32.38,6000,84.7
10,India,40,333.2,56.29,2900,59.5
11,Indonesia,37,127.9,35.6,3200,87.9
17,Iran,25,41.7,41.58,7000,79.4
19,Iraq,21,61.3,50.25,1500,40.4
,,,,,,
 ,,,,,,
