Country,Year,CPI
Iraq,2021,23
Iraq,2020,21
Iraq,2019,20
Iraq,2018,18
Iraq,2017,18
Iraq,2016,17
Iraq,2015,16
Iraq,2014,16
Iraq,2013,16
Iraq,2012,18
Equatorial Guinea,2021,17
Equatorial Guinea,2020,16
Equatorial Guinea,2019,16
Equatorial Guinea,2018,16
Equatorial Guinea,2017,17
Equatorial Guinea,2016,17
Equatorial Guinea,2015,17
Equatorial Guinea,2014,17
Equatorial Guinea,2013,19
Equatorial Guinea,2012,20
Libya,2021,17
Libya,2020,17
Libya,2019,18
Libya,2018,17
Libya,2017,17
Libya,2016,14
Libya,2015,16
Libya,2014,18
Libya,2013,15
Libya,2012,21
Yemen,2021,16
Yemen,2020,15
Yemen,2019,15
Yemen,2018,14
Yemen,2017,16
Yemen,2016,14
Yemen,2015,18
Yemen,2014,19
Yemen,2013,18
Yemen,2012,23
Venezuela,2021,14
Venezuela,2020,15
Venezuela,2019,16
Venezuela,2018,18
Venezuela,2017,18
Venezuela,2016,17
Venezuela,2015,17
Venezuela,2014,19
Venezuela,2013,20
Venezuela,2012,19
Nigeria,2021,24
Nigeria,2020,25
Nigeria,2019,26
Nigeria,2018,27
Nigeria,2017,27
Nigeria,2016,28
Nigeria,2015,26
Nigeria,2014,27
Nigeria,2013,25
Nigeria,2012,27
Bangladesh,2021,26
Bangladesh,2020,26
Bangladesh,2019,26
Bangladesh,2018,26
Bangladesh,2017,28
Bangladesh,2016,26
Bangladesh,2015,25
Bangladesh,2014,25
Bangladesh,2013,27
Bangladesh,2012,26
